Accession (version),Accession,Description,Label,New Label,Name,Genomic Length (bp),id,Want,label
FJ445136.1,FJ445136,FJ445136.1 Human rhinovirus 51 strain ATCC VR-1161| complete genome,A_hrv-51,HRV-A51,A,7152,40,A40,A
FJ445137.1,FJ445137,FJ445137.1 Human rhinovirus 52 isolate F10| complete genome,B_hrv-52-f10,HRV-B52-F10,B,7216,12,B12,B
FJ445138.1,FJ445138,FJ445138.1 Human rhinovirus 54 strain ATCC VR-1164| complete genome,A_hrv-54,HRV-A54,A,7134,41,A41,A
FJ445139.1,FJ445139,FJ445139.1 Human rhinovirus 54 isolate F05| complete genome,A_hrv-54-f05,HRV-A54-F05,A,7133,42,A42,A
FJ445140.1,FJ445140,FJ445140.1 Human rhinovirus 56 strain ATCC VR-1166| complete genome,A_hrv-56,HRV-A56,A,7136,43,A43,A
FJ445141.1,FJ445141,FJ445141.1 Human rhinovirus 57 isolate fs ship#1-hrv-57| complete genome,A_hrv-57,HRV-A57,A,7134,44,A44,A
FJ445142.1,FJ445142,FJ445142.1 Human rhinovirus 58 strain ATCC VR-1168| complete genome,A_hrv-58,HRV-A58,A,7140,45,A45,A
FJ445143.1,FJ445143,FJ445143.1 Human rhinovirus 60 strain ATCC VR-1473| complete genome,A_hrv-60,HRV-A60,A,7139,46,A46,A
FJ445144.1,FJ445144,FJ445144.1 Human rhinovirus 61 strain ATCC VR-1171| complete genome,A_hrv-61,HRV-A61,A,7139,47,A47,A
FJ445145.1,FJ445145,FJ445145.1 Human rhinovirus 62 strain ATCC VR-1172| complete genome,A_hrv-62,HRV-A62,A,7131,48,A48,A
FJ445146.1,FJ445146,FJ445146.1 Human rhinovirus 63 strain ATCC VR-1173| complete genome,A_hrv-63,HRV-A63,A,7141,49,A49,A
FJ445147.1,FJ445147,FJ445147.1 Human rhinovirus 65 strain ATCC VR-1175| complete genome,A_hrv-65,HRV-A65,A,7162,50,A50,A
FJ445148.1,FJ445148,FJ445148.1 Human rhinovirus 66 strain ATCC VR-1176| complete genome,A_hrv-66,HRV-A66,A,7139,51,A51,A
FJ445149.1,FJ445149,FJ445149.1 Human rhinovirus 67 strain ATCC VR-1177| complete genome,A_hrv-67,HRV-A67,A,7135,52,A52,A
FJ445151.1,FJ445151,FJ445151.1 Human rhinovirus 69 strain ATCC VR-1179| complete genome,B_hrv-69,HRV-B69,B,7211,13,B13,B
FJ445152.1,FJ445152,FJ445152.1 Human rhinovirus 71 strain ATCC VR-1181| complete genome,A_hrv-71,HRV-A71,A,7161,53,A53,A
FJ445153.1,FJ445153,FJ445153.1 Human rhinovirus 72 strain ATCC VR-1182| complete genome,B_hrv-72,HRV-B72,B,7216,14,B14,B
FJ445154.1,FJ445154,FJ445154.1 Human rhinovirus 77 strain ATCC VR-1187| complete genome,A_hrv-77,HRV-A77,A,7136,54,A54,A
FJ445155.1,FJ445155,FJ445155.1 Human rhinovirus 79 strain ATCC VR-1189| complete genome,B_hrv-79,HRV-B79,B,7224,15,B15,B
FJ445156.1,FJ445156,FJ445156.1 Human rhinovirus 80 strain ATCC VR-1190| complete genome,A_hrv-80,HRV-A80,A,7138,55,A55,A
FJ445157.1,FJ445157,FJ445157.1 Human rhinovirus 81 strain ATCC VR-1191| complete genome,A_hrv-81,HRV-A81,A,7116,56,A56,A
FJ445158.1,FJ445158,FJ445158.1 Human rhinovirus 81 isolate F06| complete genome,A_hrv-81-f06,HRV-A81-F06,A,7116,57,A57,A
FJ445159.1,FJ445159,FJ445159.1 Human rhinovirus 81 isolate F07| complete genome,A_hrv-81-f07,HRV-A81-F07,A,7116,58,A58,A
FJ445160.1,FJ445160,FJ445160.1 Human rhinovirus 82 strain ATCC VR-1192| complete genome,A_hrv-82,HRV-A82,A,7123,59,A59,A
FJ445161.1,FJ445161,FJ445161.1 Human rhinovirus 83 strain ATCC VR-1193| complete genome,B_hrv-83,HRV-B83,B,7230,16,B16,B
FJ445162.1,FJ445162,FJ445162.1 Human rhinovirus 84 strain ATCC VR-1194| complete genome,B_hrv-84,HRV-B84,B,7201,17,B17,B
FJ445163.1,FJ445163,FJ445163.1 Human rhinovirus 85 strain ATCC VR-1195| complete genome,A_hrv-85,HRV-A85,A,7140,60,A60,A
FJ445164.1,FJ445164,FJ445164.1 Human rhinovirus 86 strain ATCC VR-1196| complete genome,B_hrv-86,HRV-B86,B,7213,18,B18,B
FJ445165.1,FJ445165,FJ445165.1 Human rhinovirus 89 isolate F09| complete genome,A_hrv-89-f09,HRV-A89-F09,A,7150,61,A61,A
FJ445166.1,FJ445166,FJ445166.1 Human rhinovirus 89 isolate F08| complete genome,A_hrv-89-f08,HRV-A89-F08,A,7152,62,A62,A
FJ445167.1,FJ445167,FJ445167.1 Human rhinovirus 90 strain ATCC VR-1291| complete genome,A_hrv-90,HRV-A90,A,7124,63,A63,A
FJ445168.1,FJ445168,FJ445168.1 Human rhinovirus 91 strain ATCC VR-1292| complete genome,B_hrv-91,HRV-B91,B,7221,19,B19,B
FJ445169.1,FJ445169,FJ445169.1 Human rhinovirus 92 strain ATCC VR-1293| complete genome,B_hrv-92,HRV-B92,B,7233,20,B20,B
FJ445170.1,FJ445170,FJ445170.1 Human rhinovirus 95 strain ATCC VR-1301| complete genome,A_hrv-95,HRV-A95,A,7110,64,A64,A
FJ445171.1,FJ445171,FJ445171.1 Human rhinovirus 96 strain ATCC VR-1296| complete genome,A_hrv-96,HRV-A96,A,7134,65,A65,A
FJ445172.1,FJ445172,FJ445172.1 Human rhinovirus 97 strain ATCC VR-1297| complete genome,B_hrv-97,HRV-B97,B,7207,21,B21,B
FJ445173.1,FJ445173,FJ445173.1 Human rhinovirus 98 strain ATCC VR-1298| complete genome,A_hrv-98,HRV-A98,A,7133,66,A66,A
FJ445174.1,FJ445174,FJ445174.1 Human rhinovirus 99 strain ATCC VR-1299| complete genome,B_hrv-99,HRV-B99,B,7208,22,B22,B
FJ445175.1,FJ445175,FJ445175.1 Human rhinovirus 100 strain ATCC VR-1300| complete genome,A_hrv-100,HRV-A100,A,7140,67,A67,A
FJ445176.1,FJ445176,FJ445176.1 Human rhinovirus 7 strain ATCC VR-1117| complete genome,A_hrv-07,HRV-A07,A,7146,68,A68,A
FJ445177.1,FJ445177,FJ445177.1 Human rhinovirus 9 strain ATCC VR-489| complete genome,A_hrv-09,HRV-A09,A,7132,69,A69,A
FJ445178.1,FJ445178,FJ445178.1 Human rhinovirus 10 strain ATCC VR-1120| complete genome,A_hrv-10,HRV-A10,A,7137,70,A70,A
FJ445179.1,FJ445179,FJ445179.1 Human rhinovirus 30 strain ATCC VR-1140| complete genome,A_hrv-30,HRV-A30,A,7093,71,A71,A
FJ445180.1,FJ445180,FJ445180.1 Human rhinovirus 38 strain ATCC VR-1148| complete genome,A_hrv-38,HRV-A38,A,7136,72,A72,A
FJ445181.1,FJ445181,FJ445181.1 Human rhinovirus 64 strain ATCC VR-1174| complete genome,A_hrv-64,HRV-A64,A,7129,73,A73,A
FJ445182.1,FJ445182,FJ445182.1 Human rhinovirus 76 strain ATCC VR-1186| complete genome,A_hrv-76,HRV-A76,A,7128,74,A74,A
FJ445183.1,FJ445183,FJ445183.1 Human rhinovirus 78 strain ATCC VR-1188| complete genome,A_hrv-78,HRV-A78,A,7145,75,A75,A
FJ445184.1,FJ445184,FJ445184.1 Human rhinovirus 89 strain ATCC VR-1199| complete genome,A_hrv-89,HRV-A89,A,7152,76,A76,A
FJ445185.1,FJ445185,FJ445185.1 Human rhinovirus 94 strain ATCC VR-1295| complete genome,A_hrv-94,HRV-A94,A,7132,77,A77,A
FJ445186.1,FJ445186,FJ445186.1 Human rhinovirus 27 strain ATCC VR-1137| complete genome,B_hrv-27,HRV-B27,B,7217,23,B23,B
FJ445187.1,FJ445187,FJ445187.1 Human rhinovirus 35 strain ATCC VR-1145| complete genome,B_hrv-35,HRV-B35,B,7224,24,B24,B
FJ445188.1,FJ445188,FJ445188.1 Human rhinovirus 52 strain ATCC VR-1162| complete genome,B_hrv-52,HRV-B52,B,7216,25,B25,B
FJ445189.1,FJ445189,FJ445189.1 Human rhinovirus 34 strain ATCC VR-1144| complete genome,A_hrv-34,HRV-A34,A,7119,78,A78,A
FJ445190.1,FJ445190,FJ445190.1 Human rhinovirus 24 strain ATCC VR-1134| complete genome,A_hrv-24,HRV-A24,A,7132,79,A79,A
L05355.1,L05355,L05355.1 Human rhinovirus type 14 polyprotein gene,B_hrv-14*,HRV-B14,B,7212,26,B26,B
L24917.1,L24917,L24917.1 Human rhinovirus type 16 polyprotein gene| complete CDS,A_hrv-16*,HRV-A16,A,7124,80,A80,A
V01149.1,V01149,V01149.1 Human poliovirus 1 Mahoney| complete genome,HEV_pv-1m*,HEV-HPV-1M,HEV,7440,3,HEV3,HEV
X02316.1,X02316,X02316.1 Human rhinovirus 2| complete sequence,A_hrv-02*,HRV-A02,A,7102,81,A81,A
